City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
211,pivijay,CO,2022-06-02 22:00:41,10.4617,-74.6162,86.02,63,90,6.98,overcast clouds,0.0,0
212,anchorage,US,2022-06-02 21:57:01,61.2181,-149.9003,76.86,35,52,3.0,broken clouds,0.0,0
213,lorengau,PG,2022-06-02 22:00:42,-2.0226,147.2712,83.21,72,72,9.6,broken clouds,0.0,0
214,kruisfontein,ZA,2022-06-02 22:00:42,-34.0033,24.7314,47.88,90,8,4.25,clear sky,0.0,0
215,koungheul,SN,2022-06-02 22:00:36,13.9833,-14.8,91.81,37,66,11.86,broken clouds,0.0,0
216,mount isa,AU,2022-06-02 22:00:43,-20.7333,139.5,60.57,63,40,0.0,scattered clouds,0.0,0
217,puerto escondido,MX,2022-06-02 22:00:43,15.85,-97.0667,83.12,71,85,7.0,overcast clouds,0.0,0
218,bonavista,CA,2022-06-02 22:00:44,48.6499,-53.1147,39.81,97,100,22.28,overcast clouds,0.0,0
219,florianopolis,BR,2022-06-02 21:58:58,-27.6146,-48.5012,57.7,89,100,14.97,overcast clouds,0.0,0
220,aklavik,CA,2022-06-02 22:00:44,68.2191,-135.0107,43.99,80,100,8.66,overcast clouds,0.0,0
221,haines junction,CA,2022-06-02 22:00:45,60.7522,-137.5108,74.14,19,58,5.82,broken clouds,0.0,0
222,iqaluit,CA,2022-06-02 22:00:14,63.7506,-68.5145,35.82,77,83,0.78,broken clouds,0.0,0
223,leningradskiy,RU,2022-06-02 22:00:45,69.3833,178.4167,53.6,48,85,12.73,overcast clouds,0.0,0
224,arinos,BR,2022-06-02 22:00:46,-15.9169,-46.1056,72.86,36,41,2.84,scattered clouds,0.0,0
225,airai,TL,2022-06-02 22:00:46,-8.9266,125.4092,59.41,93,60,1.7,broken clouds,0.0,0
226,san cristobal,VE,2022-06-02 22:00:05,7.7669,-72.225,81.45,43,60,5.73,broken clouds,0.0,0
227,upernavik,GL,2022-06-02 21:57:27,72.7868,-56.1549,32.07,66,100,1.99,overcast clouds,0.0,0
228,norman wells,CA,2022-06-02 22:00:47,65.282,-126.8329,71.69,33,100,11.34,overcast clouds,0.0,0
229,kismayo,SO,2022-06-02 22:00:47,-0.3582,42.5454,77.81,79,93,16.91,light rain,0.0,0
230,the valley,AI,2022-06-02 22:00:48,18.217,-63.0578,83.82,75,45,11.68,scattered clouds,0.0,0
231,ratnagiri,IN,2022-06-02 22:00:48,16.9833,73.3,82.02,81,100,7.65,overcast clouds,0.0,0
232,cururupu,BR,2022-06-02 22:00:48,-1.8283,-44.8683,75.72,91,74,3.27,broken clouds,0.0,0
233,salalah,OM,2022-06-02 22:00:49,17.0151,54.0924,80.56,75,32,3.85,scattered clouds,0.0,0
234,keroka,KE,2022-06-02 22:00:49,-0.7758,34.9453,51.89,92,82,5.82,broken clouds,0.0,0
